Title,Description,URL,Date,Sentiment
Machine Learning Crash Course,,https://developers.google.com/machine-learning/crash-course/,2018-03-01 22:39:50,NEUTRAL
"Machine Learning 101 slidedeck: 2 years of headbanging, so you don't have to",,https://docs.google.com/presentation/d/1kSuQyW5DTnkVaZEjGYCkfOxvzCqGEFzWBy4e9Uedd9k/preview?imm_mid=0f9b7e&cmp=em-data-na-na-newsltr_20171213&slide=id.g183f28bdc3_0_90,2017-12-14 06:54:14,NEUTRAL
The Chaostron: An Important Advance in Learning Machines (1961),,https://dl.acm.org/doi/pdf/10.1145/358027.358047,2022-10-15 06:28:52,NEUTRAL
Apple's director of machine learning resigns due to return to office work,,https://www.macrumors.com/2022/05/07/apple-director-of-machine-learning-resigns/,2022-05-08 02:33:43,NEUTRAL
Ask HN: How to get started with machine learning?,"How should a software engineer with no machine learning background get started on the subject?
Do you think that getting started by learning a framework like TensorFlow is a good idea or should I gain a background knowledge first?",https://news.ycombinator.com/item?id=12713056,2016-10-15 13:04:37,NEUTRAL
Distill: a modern machine learning journal,,http://distill.pub/about/,2017-03-20 23:08:23,NEUTRAL
Math Basics for Computer Science and Machine Learning [pdf],,http://www.cis.upenn.edu/~jean/math-basics.pdf,2019-07-31 04:48:39,NEUTRAL
Google supercharges machine learning tasks with TPU custom chip,,https://cloudplatform.googleblog.com/2016/05/Google-supercharges-machine-learning-tasks-with-custom-chip.html,2016-05-19 01:01:59,NEUTRAL
The First Rule of Machine Learning: Start Without Machine Learning,,https://eugeneyan.com/writing/first-rule-of-ml/,2021-09-22 10:24:52,NEUTRAL
The State of Machine Learning Frameworks,,https://thegradient.pub/state-of-ml-frameworks-2019-pytorch-dominates-research-tensorflow-dominates-industry/,2019-10-10 22:12:46,NEUTRAL
